的	白
一	一
不	一
是	日
了	乙
人	丿
他	亻
我	戈
在	土
有	月
这	辶
道	辶
你	亻
来	一
她	女
大	一
个	人
上	卜
中	口
到	刂
说	讠
出	屮
地	土
为	丶
们	亻
要	覀
着	羊
子	乙
下	卜
那	阝
也	乙
得	彳
会	人
和	禾
就	亠
时	日
以	人
之	丶
国	囗
可	口
去	土
么	厶
心	丶
过	辶
好	女
然	灬
对	又
自	丿
小	丨
天	二
看	目
手	丿
生	牛
里	丨
而	一
发	又
后	口
能	厶
家	宀
起	走
只	口
没	氵
想	心
事	一
还	辶
如	女
身	丿
多	夕
已	己
面	一
无	二
头	大
方	丶
开	二
都	阝
行	彳
前	八
知	矢
见	丨
声	士
又	乙
作	亻
成	戈
两	一
用	丿
于	十
经	纟
老	土
笑	
法	氵
年	丿
当	小
日	丨
意	音
点	卜
动	力
所	斤
此	止
现	王
进	辶
情	忄
但	亻
主	王
什	亻
把	扌
同	冂
定	宀
长	丿
全	人
回	囗
三	二
样	木
力	乙
分	八
本	木
向	口
实	宀
问	门
女	乙
高	亠
十	一
话	讠
儿	丿
明	日
气	丿
将	丬
与	一
眼	目
正	止
走	土
从	人
真	十
些	二
理	王
己	乙
口	丨
外	夕
公	八
门	丶
间	门
重	二
其	一
再	一
等	
才	一
种	禾
工	一
学	小
民	乙
业	丨
相	木
很	彳
关	八
因	囗
文	丶
二	一
部	阝
何	亻
却	卩
听	口
少	小
名	夕
神	礻
被	衤
白	丿
住	亻
者	土
打	扌
新	斤
便	亻
月	丿
先	牛
位	亻
最	日
机	木
给	纟
内	冂
使	亻
山	丨
应	广
信	亻
加	力
几	丿
别	刂
目	丨
处	夂
次	冫
水	丨
太	大
光	小
入	丿
并	八
合	人
立	丶
由	土
风	丿
表	二
报	扌
难	又
死	歹
今	人
平	一
展	尸
四	囗
金	丿
怎	心
体	亻
色	刀
安	宀
果	日
放	方
更	一
马	乙
西	一
感	心
觉	小
化	亻
美	羊
快	忄
总	心
夫	二
第	
接	扌
做	亻
直	十
叫	口
比	一
政	攵
建	廴
连	辶
场	土
市	亠
利	禾
望	王
数	攵
解	角
制	刂
性	忄
让	讠
像	亻
原	厂
步	止
剑	刂
轻	车
系	糸
世	艹
王	一
教	攵
特	牜
边	辶
提	扌
通	辶
万	一
师	巾
产	立
结	纟
算	
任	亻
双	又
电	日
脸	月
常	巾
东	一
路	足
张	弓
强	弓
受	爪
各	夂
记	讠
非	丨
冷	冫
转	车
爱	爪
命	人
花	艹
飞	乙
活	氵
云	二
及	丿
度	广
必	心
吗	口
至	土
清	氵
亲	立
功	工
思	田
五	一
件	亻
变	亠
该	讠
海	氵
管	
未	二
指	扌
设	讠
江	氵
计	讠
带	巾
认	讠
社	礻
交	亠
深	氵
言	丶
华	十
往	彳
吧	口
斯	其
题	页
保	亻
似	亻
南	十
完	宀
林	木
员	口
书	乙
许	讠
决	冫
务	夂
武	止
干	二
形	彡
反	又
衣	丶
元	二
近	辶
物	牜
龙	一
呢	口
条	夂
它	宀
义	丶
青	一
区	匚
若	艹
车	一
容	穴
程	禾
北	丨
统	纟
服	月
红	纟
求	一
量	日
跟	足
落	艹
济	氵
满	氵
告	牛
李	木
拉	扌
惊	忄
娘	女
即	艮
吃	口
黑	丨
尔	小
空	穴
军	冖
传	亻
找	扌
石	一
极	木
远	辶
早	日
取	耳
领	页
息	自
玉	王
奇	大
则	贝
微	彳
且	丨
改	己
流	氵
战	戈
办	力
令	人
半	丶
离	亠
虽	口
据	扌
收	攵
资	贝
请	讠
百	一
字	宀
火	丶
基	其
失	丿
倒	亻
怕	忄
房	户
弟	八
式	工
论	讠
象	刀
紧	糸
竟	音
科	禾
克	十
候	亻
达	辶
影	彡
势	力
持	扌
杀	木
德	彳
语	讠
视	礻
绝	纟
音	丶
术	木
伤	亻
或	一
期	其
突	穴
男	田
士	土
司	口
坐	土
每	毋
众	人
随	阝
谁	讠
院	阝
喜	士
父	丿
委	禾
急	心
代	亻
议	讠
刻	刂
切	刀
暗	日
兄	口
掌	手
党	儿
客	宀
农	冖
城	土
技	扌
刚	刂
哥	口
怪	忄
友	又
界	田
品	口
乎	丿
根	木
精	米
调	讠
八	丿
首	八
举	小
罗	罒
姑	女
识	讠
共	八
苦	艹
队	阝
组	纟
运	辶
敢	攵
企	人
格	木
治	氵
府	广
京	亠
谈	讠
尽	尸
孩	子
台	厶
际	阝
答	
单	八
站	立
千	十
确	石
断	斤
足	丨
示	一
整	止
图	囗
留	田
片	丿
始	女
布	巾
铁	钅
香	禾
般	舟
晚	日
准	冫
集	隹
七	一
刀	乙
待	彳
忽	心
英	艹
导	己
宝	宀
错	钅
帮	巾
联	耳
阿	阝
兴	小
约	纟
沉	氵
夜	亠
低	亻
仍	亻
招	扌
消	氵
欢	又
忙	忄
观	又
易	日
害	宀
曾	八
志	士
官	宀
规	见
推	扌
越	走
九	丿
哪	口
送	辶
照	灬
久	丿
周	冂
阳	阝
复	夂
局	尸
施	方
拿	人
愿	心
母	乙
甚	其
爷	父
阵	阝
备	夂
乐	小
项	工
广	厂
群	羊
终	纟
姐	女
啊	口
引	弓
商	亠
增	土
底	广
团	囗
巴	乙
钱	钅
故	攵
血	丿
热	灬
念	心
黄	八
查	木
响	口
静	青
闻	门
脚	月
支	十
星	日
模	木
究	穴
造	辶
包	勹
护	扌
楚	疋
亚	业
酒	氵
省	目
段	殳
注	氵
依	亻
六	亠
句	勹
除	阝
希	巾
况	冫
喝	口
证	讠
显	日
须	彡
严	厂
破	石
古	十
左	工
村	木
费	贝
怀	忄
线	纟
摇	扌
存	子
诉	讠
痛	疒
装	衣
另	口
类	米
汉	氵
居	尸
具	八
哈	口
灵	彐
标	木
研	石
朝	月
冲	冫
击	二
投	扌
雷	雨
纪	纟
选	辶
需	雨
既	艮
参	厶
毒	毋
权	木
环	王
专	二
呼	口
谢	讠
雪	雨
派	氵
尚	小
退	辶
余	人
银	钅
否	口
兰	八
器	口
兵	八
追	辶
细	纟
木	一
异	己
续	纟
湖	氵
质	贝
级	纟
停	亻
树	木
争	刀
背	月
乱	舌
育	亠
怒	心
君	口
革	一
右	口
独	犭
节	艹
旁	亠
够	勹
莫	艹
敌	攵
止	丨
疑	疋
宫	宀
写	冖
态	心
构	木
穿	穴
闪	门
恶	心
效	攵
病	疒
妹	女
赶	走
密	山
露	雨
料	米
救	攵
责	贝
历	厂
顾	页
嘴	口
速	辶
较	车
陈	阝
副	刂
维	纟
境	土
缓	纟
称	禾
史	口
楼	木
