㑇	亻乛
㑊	亻亠丿
㕮	口八丿
㘎	口门丿
㙍	土又乛
㙘	土西乚
㙦	人一
㛃	三丨乚
㛚	女龴丨
㛹	女亻丿
㟃	山乛丨
㠇	山亠丶
㠓	山艹一
㤘	心乛
㥄	心土丿
㧐	扌又乛
㧑	扌丶丶
㧟	扌氵一
㫰	日丶丶
㬊	日爫乛
㬎	日幺丶
㬚	日亠丿
㭎	木冂丿
㭕	木土乚
㮾	丶彐一
㰀	木禾丨
㳇	氵八丿
㳘	氵亠丿
㳚	氵厂丶
㴔	氵丶
㵐	氵厂丿
㶲	火丿乛
㸆	火丿一
㸌	火雨丶
㺄	犭人丨
㻬	王雨乛
㽏	氵人一
㿠	白乚
䁖	目米乚
䂮	三丨一
䃅	石丷一
䃎	石大丿
䅟	禾厶丿
䌹	纟冂丨
䎃	冂土丶
䎖	丷丶
䏝	月二丶
䏡	月二丨
䏲	月丷丿
䐃	月囗丿
䓖	艹宀乛
䓛	艹尸丨
䓨	艹冖丨
䓫	艹大丨
䓬	艹一
䗖	虫一丨
䗛	虫亻丨
䗪	广廿丨
䗴	虫𥫗乛
䜣	讠丿丿
䝙	豸匚丿
䢺	凵山乛
䢼	龷八乛
䣘	冖乛
䥽	金乚丶
䦃	金艹丨
䲟	鱼乛
䲠	鱼三丨
䲢	月䒑丿
䴓	一巾一
䴔	亠八一
䴕	一夕一
䴖	龶月一
䴗	目大一
䴘	一
䴙	尸口一
䶮	匕一
一	一一一
丁	丁一丨
丂	一乛乛
七	七一乚
丄	丨一一
丅	一丨丨
丆	丆一丿
万	丆乛乛
丈	丶丶
三	三一一
上	一一
下	一丨丶
丌	一丿丨
不	丆丨丶
与	一乛一
丏	一丨乛
丐	一乛
丑	乛丨一
丒	刀丶一
专	二乛丶
且	且丨乛
丕	丆卜一
世	廿乚乚
丗	一川一
丘	斤一一
丙	一冂丿
业	一一
丛	人人一
东	七丨丿
丝	一
丞	了水一
丟	王乚丶
丠	丬匕一
両	一冂丨
丢	丿土乚
丣	丆丨乛
两	一冂丿
严	一一
並	䒑一
丧	十䒑乚
丨	丨丨丨
丩	乚丨丨
个	人丨丨
丫	丷丨丨
丬	丬丶一
中	口丨丨
丮	乚一一
丯	彡丨丨
丰	三丨丨
丱	乚川一
串	口口丨
丳	口口丿
临	丨
丵	一一
丶	丶丶丶
丷	丷丶丿
丸	九丶丶
丹	丶一
为	丶力丶
主	丶一一
丼	二丶
丽	一冂丶
举	一一
丿	丿丿丿
乀	丶丶丶
乁	丶丶丶
乂	乂丿丶
乃	乃乛丿
乄	乛丶丶
久	丶丶
乆	乚丿丶
乇	丿一乚
么	丿乚丶
义	丶丿丶
乊	丿丶丿
之	之丶乛
乌	勹乛一
乍	丨一
乎	丿䒑丨
乏	丿丶乛
乐	丨丿
乑	豕丿丨
乒	斤一丿
乓	斤一丶
乔	丿大丿
乕	二丨
乖	丿十丿
乗	丿干一
乘	禾丬丿
乙	乚乚乚
