吖	iaeouiii
阿	aieiaeii
啊	iaeaieia
锕	ueeeaaie
錒	uoeeioue
嗄	iaeeuiae
厑	euiaeuaa
哎	iaeeiiuo
哀	oeiaeuau
唉	iaeaouee
埃	eieaouee
挨	eieaouee
欸	aoueeuou
溾	ooeuiaee
锿	ueeeaoei
鎄	uoeeioue
啀	iaeeueie
捱	eieeueie
皑	uiaeeiai
凒	oeiaieia
嵦	iaiiaiei
溰	ooeiaiei
嘊	iaeiaieu
敱	iaieiaeo
敳	iaieiaeo
皚	uiaeeiai
癌	oeuoeiae
毐	eieaauee
昹	iaeeoaau
娾	aueeueie
嗳	iaeuoouo
矮	ueeuouei
蔼	eiioaiae
躷	uiaeeeuu
噯	iaeuoouo
濭	ooeeiiei
藹	eiioeeei
譪	oeeeiaee
霭	eoaioooo
靄	eoaioooo
艾	eiiuoooo
伌	uieuaaaa
爱	uoouoaeu
砹	euiaeeii
硋	euiaeoea
隘	aioueuoi
嗌	iaeoueuo
塧	eieoueuo
嫒	aueuoouo
愛	uoouoaoa
碍	euiaeiae
叆	eeaouoou
暧	iaeeuoou
瑷	eeieuoou
僾	uiuoouoa
壒	eieeiiei
嬡	aueuoouo
懓	ooiuoouo
薆	eiiuoouo
懝	ooiuauee
曖	iaeeuoou
璦	eeieuoou
賹	iaeeeuoo
餲	uooaeeao
鴱	eiiuouia
皧	uiaeeuoo
瞹	iaeeeuoo
馤	ueiuoiae
礙	euiaeuau
譺	oeeeiaeu
鑀	uoeeioue
鱫	uaiaeieo
靉	eoaioooo
安	ooaaueee
侒	uiooaaue
峖	iaiooaau
桉	eiuoooaa
氨	ueeaooaa
庵	oeueuoia
菴	eiieuoia
谙	oaoeouei
媕	aueuoeia
萻	eiioeoue
葊	eiiuoeia
痷	oeuoeeuo
腤	uaeeoeou
鹌	euoiaeea
蓭	eiioeueu
誝	oeeeiaeu
鞌	ooaaueei
鞍	eiieiaee
盦	uooaeiau
諳	oeeeiaeo
闇	iaeeiaee
馣	ueiuoiae
鮟	uaiaeieo
盫	uoeiaeei
鵪	euoiaeea
韽	uooaeiau
鶕	oeoueiae
玵	eeieeiie
啽	iaeuoeia
雸	eoaioooo
垵	eieooaau
俺	uieuoiae
唵	iaeeuoia
埯	eieeuoia
铵	ueeeaooa
隌	aioeouei
揞	eieoeoue
晻	iaeeeuoi
罯	iaiieoeo
銨	uoeeioue
犴	uaueeiii
岸	iaieueei
按	eieooaau
洝	ooeooaau
荌	eiiooaau
案	ooaaueei
胺	uaeeooaa
豻	uoouauue
堓	eieiaieu
婩	aueiaieu
暗	iaeeoeou
貋	uoouauui
儑	uiiaeeaa
錌	uoeeioue
黯	iaoueiee
肮	uaeeoeua
骯	iaaoaiae
岇	iaiuaaii
昂	iaeeuaai
昻	iaeeeiea
枊	eiuouaai
盎	iaeuoiai
醠	eiauaeei
凹	iaiaeeee
坳	eieaaoau
垇	eieiaiae
柪	eiuoaaoa
軪	eiaeeeia
爊	ouuooeua
敖	eeieauue
厫	eueeieau
隞	aieeieau
嗷	iaeeeiea
嗸	eeieauue
嶅	eeieauue
廒	oeueeiea
滶	ooeeeiea
獒	eeieauue
獓	uaueeiea
遨	eeieauue
摮	eeieauue
熬	eeieauue
璈	eeieeeie
