款	kb
怒	nz
仁	rx
哦	vh
五	wz
宿	sir'
蝉	ccd'
娅	yns'
颔	haw'
嫉	jng;
嗔	cok'
喇	los,
菁	jkf'
搓	cjd.
窒	zir.
庐	lgw,
诏	zwq'
曙	sif'
臻	zsy;
窖	jir.
岱	drl'
唆	soy;
珉	mfc'
喟	kot,
伎	jrk.
锵	qak'
剿	jll,
倜	trc'
咫	zpw;
妤	yny,
拄	zjw;
藜	lkh'
皎	jnw'
瀛	yvw'
饺	juw;
掸	djd;
褴	lyd'
嵇	jhx'
蔗	zkg'
狒	fqg;
蕲	qkd;
罹	lfx;
弈	ywm'
坯	pts'
氅	cec'
臃	yuw;
呶	non;
颌	has,
禺	yic'
绶	slz;
绌	clc'
阕	qcj'
蘅	hkp;
痢	lgh.
洙	zvq'
畿	jll.
摞	ljt'
碉	dsc'
郗	xxx,
雠	crf'
炀	yhj'
濠	hvw.
佘	sad'
搠	sjk.
啁	zoc'
蹉	cnd.
鬻	ygd,
守	siea
擦	cjiu
饥	juue
衔	xpaa
娱	ynoa
晒	siee
犀	xpea
韶	slio
邑	yoao
惺	xxiu
嬴	ywoe
赂	lhua
孰	swoa
茧	jkio
攸	yrea
唢	soea
劭	sqoe
嫦	cneu
湍	tvea
颉	jtoe
唁	yooo
绺	llua
胄	ziea
谩	mwie
虻	mcou
黍	shaa
耷	dpea
牍	drea
撺	cjio
潋	lvai
豕	szea
牖	yree
暮	mkii
曰	yiie
绽	zlio
趋	qtn,
渊	yvr.
旨	zlie
赚	zhk'
逾	yas,
晏	yiiu
璧	bpoi
靳	jkoa
弩	nnk,
仕	srea
酱	jkee
薰	xkr'
翡	fef'
靡	mgm'
穹	qir/
蛰	zjj'
獒	vfb;
骼	gcj/
