# Rime dict
# encoding: utf-8
# name: sbzdy
# version: "10.0"
# 声笔通用自定义用户词库
# 编码格式：字词+Tab符+编码，首码必须为声母，后接小写字母和数字
# 应该保持编码唯一，否则如有重码，选择时需要移动光标，比较麻烦
# 以下是一些示例词条，用户可以任意增删改

自定义【用户词组】	zdy
测试一下吧:)	cs
声笔介绍：sbxlm.gitee.io/about	js
sbxlm.gitee.io/about	jsa
安装配置：sbxlm.gitee.io/vzpz	vz
sbxlm.gitee.io/vzpz	vza
声笔基础：sbxlm.gitee.io/sbjc	jc
sbxlm.gitee.io/sbjc	jca
声笔简码：sbxlm.gitee.io/sbjm	jm
sbxlm.gitee.io/sbjm	jma
声笔拼音：sbxlm.gitee.io/sbpy	py
sbxlm.gitee.io/sbpy	pya
声笔自然：sbxlm.gitee.io/sbzr	zr
sbxlm.gitee.io/sbzr	zra
声笔小鹤：sbxlm.gitee.io/sbxh	xh
sbxlm.gitee.io/sbxh	xha
声笔飞码：sbxlm.gitee.io/sbfm	fm
sbxlm.gitee.io/sbfd	fda
声笔飞单：sbxlm.gitee.io/sbfd	fd
sbxlm.gitee.io/sbfm	fma
声笔飞讯：sbxlm.gitee.io/sbfx	fx
sbxlm.gitee.io/sbfx	fxa
其它方案：sbxlm.gitee.io/qtfv	qt
sbxlm.gitee.io/qtfv	qta
发展历程：sbxlm.gitee.io/fzlc	lc
sbxlm.gitee.io/fzlc	lca
常见问题：sbxlm.gitee.io/faq	wt
sbxlm.gitee.io/faq	wta
live.bilibili.com/31638019	bza
声笔B站直播间：live.bilibili.com/31638019	bz
声笔QQ交流群：445906697,780510469,783734487,728093309	qq
